Elementos,Algoritmo,Éxito,Tiempo (µs)
100,Bubble Sort,Sí,314.42
100,Bucket Sort,Sí,22.33
100,Counting Sort,Sí,22.08
100,Heap Sort,Sí,127.83
100,Insertion Sort,Sí,176.04
100,Merge Sort,Sí,128.12
100,Quick Sort,Sí,88.21
100,Selection Sort,Sí,167.96
100,Shell Sort,Sí,58.88
1_000,Bubble Sort,Sí,36_461.38
1_000,Bucket Sort,Sí,198.88
1_000,Counting Sort,Sí,240.42
1_000,Heap Sort,Sí,2_001.42
1_000,Insertion Sort,Sí,18_828.21
1_000,Merge Sort,Sí,1_536.38
1_000,Quick Sort,Sí,982.33
1_000,Selection Sort,Sí,16_615.00
1_000,Shell Sort,Sí,1_286.75
10_000,Bubble Sort,Sí,3_883_271.92
10_000,Bucket Sort,Sí,2_113.12
10_000,Counting Sort,Sí,2_375.17
10_000,Heap Sort,Sí,30_168.12
10_000,Insertion Sort,Sí,1_843_072.08
10_000,Merge Sort,Sí,19_715.00
10_000,Quick Sort,Sí,11_032.00
10_000,Selection Sort,Sí,1_593_018.12
10_000,Shell Sort,Sí,22_570.04
100_000,Bubble Sort,Sí,389_495_892.17
100_000,Bubble Sort,Sí,385_287_911.54
100_000,Bucket Sort,Sí,21_840.75
100_000,Counting Sort,Sí,25_191.58
100_000,Heap Sort,Sí,372_945.46
100_000,Insertion Sort,Sí,179_213_194.79
100_000,Merge Sort,Sí,235_661.21
100_000,Quick Sort,Sí,124_489.29
100_000,Selection Sort,Sí,165_788_054.79
100_000,Shell Sort,Sí,364_634.08
1_000_000,Bucket Sort,Sí,274_137.50
1_000_000,Counting Sort,Sí,450_922.58
1_000_000,Heap Sort,Sí,4_825_581.08
1_000_000,Merge Sort,Sí,2_888_630.83
1_000_000,Quick Sort,Sí,1_600_283.08
1_000_000,Shell Sort,Sí,6_812_692.58
